Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PEAKVIEW ESTATE,"4,800,000","3,277.64","1,464",Sep-25,JALAN PARI KIKIS,Resale,Land,304.5,"15,764",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,200,000","3,943.93",811,Sep-25,JALAN PERGAM,Resale,Land,366.4,"8,734",-,Semi-Detached House,1,99 yrs lease commencing from 1965,16,Outside Central Region,-
SPRING PARK ESTATE,"5,980,000","3,560.73","1,679",Sep-25,JALAN REMIS,Resale,Land,330.8,"18,077",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
TUAN SING PARK,"5,400,000","3,708.2","1,456",Sep-25,DEDAP ROAD,Resale,Land,344.5,"15,675",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
THOMSON RISE ESTATE,"13,100,000","5,603.74","2,338",Sep-25,JALAN BINCHANG,Resale,Land,520.6,"25,163",-,Detached House,1,Freehold,20,Rest of Central Region,-
THE SPRINGSIDE,"4,280,000","1,711.48","2,501",Sep-25,SPRINGSIDE VIEW,Resale,Land,159,"26,918",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,330,000","9,923.33",336,Sep-25,BUKIT AYER MOLEK,Resale,Land,921.9,"3,612",-,Detached House,1,99 yrs lease commencing from 1957,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","1,838.49","2,448",Sep-25,KARIKAL LANE,Resale,Land,170.8,"26,347",-,Terrace House,1,Freehold,15,Outside Central Region,-
LUCKY PARK,"21,600,000","9,575.65","2,256",Sep-25,LASIA AVENUE,Resale,Land,889.6,"24,281",-,Detached House,1,Freehold,10,Core Central Region,-
CANARY PARK,"5,500,000","3,561.81","1,544",Sep-25,JALAN SIMPANG BEDOK,Resale,Land,330.9,"16,621",-,Terrace House,1,Freehold,16,Outside Central Region,-
THOMSON HILLS ESTATE,"3,720,000","2,009.64","1,851",Sep-25,SEMBAWANG HILLS DRIVE,Resale,Land,186.7,"19,925",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,250,000","4,843.8","2,323",Sep-25,MOUNTBATTEN ROAD,Resale,Land,450,"25,000",-,Detached House,1,Freehold,15,Rest of Central Region,-
SEMBAWANG STRAITS ESTATE,"3,120,000","2,239.99","1,393",Sep-25,JALAN GELAM,Resale,Land,208.1,"14,993",-,Semi-Detached House,1,Freehold,27,Outside Central Region,-
WATTEN ESTATE,"24,500,000","16,632.53","1,473",Sep-25,PARK VALE,Resale,Land,"1,545.2","15,856",-,Detached House,1,999 yrs lease commencing from 1874,11,Core Central Region,-
SERANGOON GARDEN ESTATE,"6,380,000","2,799.72","2,279",Sep-25,BURGHLEY DRIVE,Resale,Land,260.1,"24,529",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,000,000","5,598.36","1,965",Sep-25,PHILLIPS AVENUE,Resale,Land,520.1,"21,150",-,Detached House,1,999 yrs lease commencing from 1886,19,Outside Central Region,-
VILLA VERDE,"2,530,000","1,614.6","1,567",Sep-25,VERDE CRESCENT,Resale,Land,150,"16,867",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,200,000","4,651.12","1,333",Sep-25,JALAN BATU NILAM,Resale,Land,432.1,"14,349",-,Terrace House,1,Freehold,23,Outside Central Region,-
