Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
J GATEWAY,"1,380,000",742.72,"1,858",Oct-24,GATEWAY DRIVE,Resale,Strata,69.0,"20,000",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,16 to 20
LE QUEST,"1,648,000",979.52,"1,682",Oct-24,BUKIT BATOK STREET 41,Resale,Strata,91.0,"18,110",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15
PARC ROSEWOOD,"660,000",430.56,"1,533",Oct-24,ROSEWOOD DRIVE,Resale,Strata,40.0,"16,500",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
FORESQUE RESIDENCES,"2,010,000","1,237.86","1,624",Oct-24,PETIR ROAD,Resale,Strata,115.0,"17,478",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,16 to 20
LAKEPOINT CONDOMINIUM,"1,710,000","1,883.7",908,Oct-24,LAKEPOINT DRIVE,Resale,Strata,175.0,"9,771",-,Condominium,1,99 yrs lease commencing from 1983,22,Outside Central Region,06 to 10
PARC OASIS,"1,618,000","1,227.1","1,319",Oct-24,JURONG EAST AVENUE 1,Resale,Strata,114.0,"14,193",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,16 to 20
WOODGROVE CONDOMINIUM,"1,300,000","1,625.36",800,Oct-24,WOODGROVE DRIVE,Resale,Strata,151.0,"8,609",-,Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
J GATEWAY,"988,000",505.91,"1,953",Oct-24,GATEWAY DRIVE,Resale,Strata,47.0,"21,021",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,06 to 10
MERAWOODS,"3,238,000","2,357.32","1,374",Oct-24,HILLVIEW AVENUE,Resale,Strata,219.0,"14,785",-,Condominium,1,999 yrs lease commencing from 1885,23,Outside Central Region,01 to 05
J GATEWAY,"1,950,000",893.41,"2,183",Oct-24,GATEWAY DRIVE,Resale,Strata,83.0,"23,494",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,31 to 35
DAINTREE RESIDENCE,"2,115,000","1,054.87","2,005",Oct-24,TOH TUCK ROAD,Resale,Strata,98.0,"21,582",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
WOODGROVE CONDOMINIUM,"1,200,000","1,194.8","1,004",Oct-24,WOODGROVE DRIVE,Resale,Strata,111.0,"10,811",-,Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
NORTHVALE,"1,100,000","1,033.34","1,065",Oct-24,CHOA CHU KANG LOOP,Resale,Strata,96.0,"11,458",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
LE QUEST,"1,540,000",936.47,"1,644",Oct-24,BUKIT BATOK STREET 41,Resale,Strata,87.0,"17,701",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,11 to 15
PINE GROVE,"1,975,000","1,754.53","1,126",Oct-24,PINE GROVE,Resale,Strata,163.0,"12,117",-,Condominium,1,99 yrs lease commencing from 1984,21,Rest of Central Region,01 to 05
