town,flat_type,block / building,street_name,storey,floor_area_sqm,flat_model,lease_commence_date,rental_date,property_type
"Katong, Joo Chiat, Amber Road",EXECUTIVE,RISING COURT,JOO CHIAT ROAD,01,132.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",2 ROOM,NOVENA REGENCY,THOMSON ROAD,01,46.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,THE ANSLEY,MANDALAY ROAD,16,119.0,Condominium,Freehold,2024-10-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,SKYSUITES17,JALAN RAJAH,11,63.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,THE ABERDEEN,JALAN TAMAN,06,121.0,Condominium,Freehold,2024-10-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",EXECUTIVE,KALLANG RIVERSIDE,KAMPONG BUGIS,21,133.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Geylang, Eunos",4 ROOM,TORIEVILLE,LORONG 6 GEYLANG,01,95.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,FERNWOOD TOWERS,FERNWOOD TERRACE,11,152.0,Condominium,Freehold,2024-10-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,THE ARISTO @ AMBER,AMBER ROAD,16,58.0,Apartment,Freehold,2024-10-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE MEYERISE,MEYER ROAD,01,118.0,Condominium,Freehold,2024-10-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,GILSTEAD TWO,GILSTEAD ROAD,26,84.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,CENTRAL GROVE,GEYLANG EAST AVENUE 1,01,113.0,Condominium,1997,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,CENTRA HEIGHTS,SIMS AVENUE,06,43.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,METRO LOFT,LORONG 27 GEYLANG,01,42.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,PRIMEDGE,LORONG 34 GEYLANG,01,41.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE BELVEDERE,MEYER ROAD,06,121.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",MANSIONETTE,DOMUS,IRRAWADDY ROAD,26,259.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,BUCKLEY 18,BUCKLEY ROAD,01,163.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,THE MARQUE @ IRRAWADDY,SHAN ROAD,11,101.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",3 ROOM,GILSTEAD TWO,GILSTEAD ROAD,11,72.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",3 ROOM,GEM RESIDENCES,LORONG 5 TOA PAYOH,31,63.0,Condominium,2015,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,ARTHUR MANSIONS,ARTHUR ROAD,06,150.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,NEWTON 18,NEWTON ROAD,06,91.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",2 ROOM,8M RESIDENCES,MARGATE ROAD,01,48.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",3 ROOM,AURALIS,EAST COAST ROAD,01,70.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",4 ROOM,CUBE 8,THOMSON ROAD,06,83.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,THE ALCOVE,LORONG 27 GEYLANG,06,128.0,Apartment,2000,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",2 ROOM,METRO LOFT,LORONG 27 GEYLANG,06,42.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,NEW COURT,JALAN DUSUN,01,107.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",MANSIONETTE,THE SOVEREIGN,MEYER ROAD,06,245.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Macpherson, Braddell",2 ROOM,SUITES@BRADDELL,BRADDELL ROAD,01,41.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",EXECUTIVE,MERLOT VILLE,TELOK KURAU ROAD,01,162.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",5 ROOM,THE ANSLEY,MANDALAY ROAD,21,121.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,SEA AVENUE MANSIONS,SEA AVENUE,01,112.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,THE BELVEDERE,MEYER ROAD,01,127.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",1 ROOM,SUITES@ KATONG,TANJONG KATONG ROAD,01,35.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,ESPIRA SPRING,LORONG G TELOK KURAU,01,83.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",5 ROOM,TESSA LODGE,MOUNTBATTEN ROAD,01,114.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,EAST VIEW,BROOKE ROAD,01,102.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Katong, Joo Chiat, Amber Road",4 ROOM,NYON,AMBER ROAD,01,85.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",5 ROOM,THE RICHMOND,ST. MICHAEL'S ROAD,06,115.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Geylang, Eunos",5 ROOM,VICENTA LODGE,LORONG MARZUKI,01,118.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Balestier, Toa Payoh, Serangoon",4 ROOM,NOVA 48,PROME ROAD,01,102.0,Apartment,Freehold,2024-09-01,Condo / Private Apartment
"Watten Estate, Novena, Thomson",EXECUTIVE,NEWTON ONE,NEWTON ROAD,26,178.0,Condominium,Freehold,2024-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,06,73.0,Apartment,2017,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,THE PALETTE,PASIR RIS GROVE,01,99.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,KENSINGTON SQUARE,JALAN LOKAM,01,57.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",3 ROOM,THE GLADES,BEDOK RISE,06,78.0,Condominium,2013,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,RIVERSAILS,UPPER SERANGOON CRESCENT,01,85.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,11,67.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",EXECUTIVE,BISHAN 8,BISHAN STREET 21,01,142.0,Condominium,1996,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,THE ALPS RESIDENCES,TAMPINES STREET 86,01,99.0,Condominium,2015,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",5 ROOM,JADESCAPE,SHUNFU ROAD,06,117.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",5 ROOM,BISHAN PARK CONDOMINIUM,SIN MING WALK,06,118.0,Condominium,1991,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,MELVILLE PARK,SIMEI STREET 1,01,87.0,Condominium,1992,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",EXECUTIVE,TERRASSE,TERRASSE LANE,01,132.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Loyang, Changi",2 ROOM,PARC OLYMPIA,FLORA DRIVE,06,46.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",EXECUTIVE,RIVER ISLES,EDGEDALE PLAINS,16,137.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",5 ROOM,THOMSON GRAND,SIN MING WALK,06,126.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,SEA ESTA,PASIR RIS LINK,06,76.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,RESIDENCES BOTANIQUE,YIO CHU KANG ROAD,01,107.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,WATERVIEW,TAMPINES AVENUE 1,06,87.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,06,79.0,Apartment,2014,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,BARTLEY RESIDENCES,LORONG HOW SUN,06,81.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",4 ROOM,THE GARDENS AT BISHAN,SIN MING WALK,01,82.0,Condominium,1997,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",2 ROOM,SPACE @ KOVAN,YIO CHU KANG ROAD,01,40.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,11,58.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,A TREASURE TROVE,PUNGGOL WALK,01,72.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,ARCHIPELAGO,BEDOK RESERVOIR ROAD,01,96.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",5 ROOM,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,11,128.0,Condominium,2009,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,01,59.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,THE MINTON,HOUGANG STREET 11,11,91.0,Condominium,2007,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,UBER 388,UPPER EAST COAST ROAD,01,92.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,TREASURE AT TAMPINES,TAMPINES LANE,11,57.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",5 ROOM,THE CLEARWATER,BEDOK RESERVOIR VIEW,06,128.0,Condominium,1997,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,MY MANHATTAN,SIMEI STREET 3,01,100.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",2 ROOM,THOMSON IMPRESSIONS,LORONG PUNTONG,06,43.0,Apartment,2015,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,16,84.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Loyang, Changi",3 ROOM,THE INFLORA,FLORA DRIVE,01,69.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",EXECUTIVE,RIVERVALE CREST,RIVERVALE CRESCENT,01,132.0,Apartment,1997,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,WATERTOWN,PUNGGOL CENTRAL,06,85.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",MANSIONETTE,COMPASS HEIGHTS,SENGKANG SQUARE,01,219.0,Apartment,2000,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",EXECUTIVE,OASIS GARDEN,JALAN BUNGA RAMPAI,11,137.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,06,57.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,REGENTVILLE,HOUGANG STREET 92,06,107.0,Apartment,1996,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,RIS GRANDEUR,ELIAS ROAD,06,99.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,06,68.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",2 ROOM,RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,06,44.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",5 ROOM,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,16,122.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,CHANGI RISE CONDOMINIUM,SIMEI RISE,06,105.0,Condominium,2000,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,WATERVIEW,TAMPINES AVENUE 1,01,103.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,SEA ESTA,PASIR RIS LINK,11,91.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",5 ROOM,WATERFRONT ISLE,BEDOK RESERVOIR ROAD,01,117.0,Condominium,2009,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",EXECUTIVE,ELIAS GREEN,ELIAS GREEN,11,142.0,Condominium,1991,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",EXECUTIVE,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,06,181.0,Condominium,1982,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,THE SANTORINI,TAMPINES STREET 86,11,71.0,Condominium,2013,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,BAYSHORE PARK,BAYSHORE ROAD,21,109.0,Condominium,1982,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,STARS OF KOVAN,UPPER SERANGOON ROAD,11,69.0,Apartment,2015,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,COCO PALMS,PASIR RIS GROVE,01,70.0,Condominium,2008,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",3 ROOM,ECO,BEDOK SOUTH AVENUE 3,11,59.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,TREASURE AT TAMPINES,TAMPINES LANE,01,96.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",EXECUTIVE,STRATFORD COURT,BEDOK RIA CRESCENT,01,174.0,Condominium,1995,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",5 ROOM,CLOVER BY THE PARK,BISHAN STREET 25,31,120.0,Condominium,2007,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,RIPPLE BAY,PASIR RIS LINK,01,72.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",MANSIONETTE,MODENA,SIMEI STREET 4,11,258.0,Condominium,1997,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,THE QUARTZ,COMPASSVALE BOW,16,111.0,Condominium,2005,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,THE MINTON,HOUGANG STREET 11,06,124.0,Condominium,2007,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",2 ROOM,COCO PALMS,PASIR RIS GROVE,06,43.0,Condominium,2008,2025-09-01,Condo / Private Apartment
"Loyang, Changi",4 ROOM,PALM ISLES,FLORA DRIVE,01,92.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Loyang, Changi",4 ROOM,HEDGES PARK CONDOMINIUM,FLORA DRIVE,01,81.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,THE QUARTZ,COMPASSVALE BOW,11,99.0,Condominium,2005,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,TREASURE MANSIONS,ROSYTH AVENUE,01,70.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,RIO VISTA,UPPER SERANGOON VIEW,11,116.0,Condominium,2001,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,THE QUINN,BARTLEY ROAD,01,50.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",EXECUTIVE,THE SPRINGBLOOM,SERANGOON AVENUE 3,01,172.0,Condominium,1995,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",3 ROOM,THE GLADES,BEDOK RISE,01,67.0,Condominium,2013,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,EAST VILLAGE,UPPER CHANGI ROAD,01,82.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",3 ROOM,JADESCAPE,SHUNFU ROAD,21,60.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",2 ROOM,KINGSFORD WATERBAY,UPPER SERANGOON VIEW,01,45.0,Apartment,2014,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,JEWEL @ BUANGKOK,COMPASSVALE BOW,06,67.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",3 ROOM,URBAN VISTA,TANAH MERAH KECHIL LINK,06,52.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,01,73.0,Apartment,2017,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",5 ROOM,D'NEST,PASIR RIS GROVE,06,118.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,RIVERVALE CREST,RIVERVALE CRESCENT,06,112.0,Apartment,1997,2025-09-01,Condo / Private Apartment
"Loyang, Changi",EXECUTIVE,BALLOTA PARK CONDOMINIUM,MARIAM WAY,01,137.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Loyang, Changi",3 ROOM,THE JOVELL,FLORA DRIVE,01,62.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,CHANGI COURT,UPPER CHANGI ROAD EAST,01,90.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",EXECUTIVE,FABER GARDEN CONDOMINIUM,ANGKLONG LANE,01,156.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,SEASTRAND,PASIR RIS LINK,06,82.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",4 ROOM,THE PANORAMA,ANG MO KIO AVENUE 2,01,106.0,Condominium,2013,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,D'NEST,PASIR RIS GROVE,11,87.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",2 ROOM,AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,01,44.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",3 ROOM,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,11,68.0,Condominium,2014,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",EXECUTIVE,BREEZE BY THE EAST,UPPER EAST COAST ROAD,01,165.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",3 ROOM,THOMSON THREE,BRIGHT HILL DRIVE,01,68.0,Apartment,2012,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,THE ALPS RESIDENCES,TAMPINES STREET 86,06,65.0,Condominium,2015,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,THE PALETTE,PASIR RIS GROVE,06,83.0,Condominium,2010,2025-09-01,Condo / Private Apartment
"Loyang, Changi",4 ROOM,THE EDGEWATER,JALAN LOYANG BESAR,01,86.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,KOVAN MELODY,KOVAN ROAD,11,116.0,Condominium,2004,2025-09-01,Condo / Private Apartment
"Loyang, Changi",EXECUTIVE,LOYANG VALLEY,LOYANG AVENUE,01,147.0,Condominium,1982,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,BARTLEY RESIDENCES,LORONG HOW SUN,01,102.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,THE SPRINGBLOOM,SERANGOON AVENUE 3,11,104.0,Condominium,1995,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",MANSIONETTE,RIO VISTA,UPPER SERANGOON VIEW,16,211.0,Condominium,2001,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,TREASURE AT TAMPINES,TAMPINES LANE,06,85.0,Condominium,2018,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,WATERTOWN,PUNGGOL CENTRAL,11,98.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,NV RESIDENCES,PASIR RIS GROVE,06,71.0,Condominium,2008,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,WATERTOWN,PUNGGOL CENTRAL,01,113.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Loyang, Changi",3 ROOM,PARC OLYMPIA,FLORA DRIVE,01,60.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,RIVER ISLES,EDGEDALE PLAINS,06,112.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,RIS GRANDEUR,ELIAS ROAD,11,99.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Loyang, Changi",5 ROOM,CARISSA PARK CONDOMINIUM,FLORA DRIVE,06,123.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",2 ROOM,Q BAY RESIDENCES,TAMPINES STREET 86,01,48.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",3 ROOM,SEA ESTA,PASIR RIS LINK,01,76.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,GLASGOW RESIDENCE,GLASGOW ROAD,01,82.0,Apartment,1886,2025-09-01,Condo / Private Apartment
"Loyang, Changi",5 ROOM,FERRARIA PARK CONDOMINIUM,FLORA DRIVE,06,111.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,01,99.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",EXECUTIVE,BRADDELL VIEW,BRADDELL HILL,06,150.0,Apartment,1975,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,TANAMERA CREST,PARI DEDAP WALK,11,93.0,Condominium,2000,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,KOVAN REGENCY,KOVAN RISE,01,83.0,Condominium,2012,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,THE LUXURIE,COMPASSVALE ROAD,01,90.0,Condominium,2011,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,PRESTO@UPPER SERANGOON,UPPER SERANGOON ROAD,01,85.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Bedok, Upper East Coast, Eastwood, Kew Drive",4 ROOM,BAYSHORE PARK,BAYSHORE ROAD,06,87.0,Condominium,1982,2025-09-01,Condo / Private Apartment
"Loyang, Changi",3 ROOM,PARC KOMO,UPPER CHANGI ROAD NORTH,01,67.0,Apartment,Freehold,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",2 ROOM,CASA CAMBIO,LIM TUA TOW ROAD,01,46.0,Condominium,Freehold,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",4 ROOM,EASTPOINT GREEN,SIMEI STREET 3,06,105.0,Condominium,1996,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,BARTLEY RESIDENCES,LORONG HOW SUN,11,81.0,Apartment,2011,2025-09-01,Condo / Private Apartment
"Bishan, Ang Mo Kio",4 ROOM,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,21,81.0,Condominium,2007,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,16,104.0,Apartment,2018,2025-09-01,Condo / Private Apartment
"Tampines, Pasir Ris",5 ROOM,CHANGI RISE CONDOMINIUM,SIMEI RISE,01,117.0,Condominium,2000,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",5 ROOM,CHILTERN PARK,SERANGOON AVENUE 3,01,121.0,Condominium,1991,2025-09-01,Condo / Private Apartment
"Serangoon Garden, Hougang, Punggol",4 ROOM,RIVER ISLES,EDGEDALE PLAINS,01,83.0,Condominium,2012,2025-09-01,Condo / Private Apartment
